Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Ilość
15;Terminy:select:1;15'40 19.01:77;130
15;Terminy:select:1;17'00 19.01:78;130
15;Terminy:select:1;18'00 19.01:79;130
15;Terminy:select:1;19'20 19.01:80;130
15;Terminy:select:1;20'20 19.01:81;130
15;Terminy:select:1;21'40 19.01:82;130
15;Terminy:select:1;10'00 20.01:83;130
15;Terminy:select:1;11'00 20.01:84;130
15;Terminy:select:1;12'20 20.01:85;130
15;Terminy:select:1;13'20 20.01:86;130
15;Terminy:select:1;14'40 20.01:87;130
15;Terminy:select:1;15'40 20.01:88;130
15;Terminy:select:1;17'00 20.01:89;130
15;Terminy:select:1;17'45 20.01:90;130
15;Terminy:select:1;19'20 20.01:91;130
15;Terminy:select:1;20'20 20.01:92;130
15;Terminy:select:1;21'40 20.01:93;130
16;Terminy:select:1;10'20 12.01:0;130
16;Terminy:select:1;11'10 12.01:1;130
16;Terminy:select:1;14'30 12.01:2;130
16;Terminy:select:1;17'30 12.01:3;130
16;Terminy:select:1;20'30 12.01:4;130
16;Terminy:select:1;13'10 13.01:5;130
16;Terminy:select:1;14'40 13.01:6;130
16;Terminy:select:1;17'30 13.01:7;130
16;Terminy:select:1;20'30 13.01:8;130
16;Terminy:select:1;11'30 14.01:9;130
16;Terminy:select:1;14'50 14.01:10;130
16;Terminy:select:1;20'00 14.01:11;130
16;Terminy:select:1;11'30 15.01:12;130
16;Terminy:select:1;14'50 15.01:13;130
16;Terminy:select:1;20'00 15.01:14;130
16;Terminy:select:1;12'50 16.01:15;130
16;Terminy:select:1;20'40 16.01:16;130
16;Terminy:select:1;11'30 17.01:17;130
16;Terminy:select:1;14'50 17.01:18;130
16;Terminy:select:1;20'00 17.01:19;130
16;Terminy:select:1;11'30 18.01:20;130
16;Terminy:select:1;14'50 18.01:21;130
16;Terminy:select:1;20'00 18.01:22;130
16;Terminy:select:1;11'30 19.01:23;130
16;Terminy:select:1;14'50 19.01:24;130
16;Terminy:select:1;20'00 19.01:25;130
16;Terminy:select:1;11'30 20.01:26;130
16;Terminy:select:1;15'50 20.01:27;130
16;Terminy:select:1;20'00 20.01:28;130
17;Terminy:select:1;13'30 12.01:0;130
17;Terminy:select:1;18'00 12.01:1;130
17;Terminy:select:1;12'30 13.01:2;130
17;Terminy:select:1;10'40 14.01:3;130
17;Terminy:select:1;17'15 14.01:4;130
17;Terminy:select:1;10'20 15.01:5;130
17;Terminy:select:1;10'00 16.01:6;130
17;Terminy:select:1;10'40 17.01:7;130
17;Terminy:select:1;10'40 18.01:8;130
17;Terminy:select:1;17'15 18.01:9;130
17;Terminy:select:1;10'40 19.01:10;130
17;Terminy:select:1;17'15 19.01:11;130
17;Terminy:select:1;10'30 20.01:12;130
18;Terminy:select:1;20'10 12.01:0;130
18;Terminy:select:1;20'10 13.01:1;130
18;Terminy:select:1;13'00 14.01:2;130
18;Terminy:select:1;12'50 15.01:3;130
18;Terminy:select:1;13'10 16.01:4;130
18;Terminy:select:1;13'00 17.01:5;130
18;Terminy:select:1;13'00 18.01:6;130
18;Terminy:select:1;13'00 19.01:7;130
18;Terminy:select:1;12'50 20.01:8;130
19;Terminy:select:1;13'20 12.01:0;130
19;Terminy:select:1;19'50 12.01:1;130
19;Terminy:select:1;13'20 13.01:2;130
19;Terminy:select:1;19'50 13.01:3;130
19;Terminy:select:1;14'00 14.01:4;130
19;Terminy:select:1;19'40 14.01:5;130
19;Terminy:select:1;14'00 15.01:6;130
19;Terminy:select:1;19'50 15.01:7;130
19;Terminy:select:1;10'40 16.01:8;130
19;Terminy:select:1;20'30 16.01:9;130
19;Terminy:select:1;14'00 17.01:10;130
19;Terminy:select:1;19'40 17.01:11;130
19;Terminy:select:1;14'00 18.01:12;130
19;Terminy:select:1;19'40 18.01:13;130
19;Terminy:select:1;14'00 19.01:14;130
19;Terminy:select:1;19'40 19.01:15;130
19;Terminy:select:1;14'00 20.01:16;130
19;Terminy:select:1;19'40 20.01:17;130
20;Terminy:select:1;10'00 12.01:0;130
20;Terminy:select:1;16'40 12.01:1;130
20;Terminy:select:1;12'50 13.01:2;130
20;Terminy:select:1;16'40 13.01:3;130
20;Terminy:select:1;11'45 14.01:4;130
20;Terminy:select:1;17'30 14.01:5;130
20;Terminy:select:1;11'45 15.01:6;130
20;Terminy:select:1;17'30 15.01:7;130
20;Terminy:select:1;11'30 16.01:8;130
20;Terminy:select:1;18'10 16.01:9;130
20;Terminy:select:1;11'45 17.01:10;130
20;Terminy:select:1;17'30 17.01:11;130
20;Terminy:select:1;11'45 18.01:12;130
20;Terminy:select:1;17'30 18.01:13;130
20;Terminy:select:1;11'45 19.01:14;130
20;Terminy:select:1;17'30 19.01:15;130
20;Terminy:select:1;11'45 20.01:16;130
20;Terminy:select:1;17'30 20.01:17;130
21;Terminy:select:1;20'20 12.01:0;130
21;Terminy:select:1;20'20 13.01:1;130
21;Terminy:select:1;15'00 14.01:2;130
21;Terminy:select:1;20'40 14.01:3;130
21;Terminy:select:1;15'00 15.01:4;130
21;Terminy:select:1;20'40 15.01:5;130
21;Terminy:select:1;14'40 16.01:6;130
21;Terminy:select:1;21'20 16.01:7;130
21;Terminy:select:1;15'00 17.01:8;130
21;Terminy:select:1;20'40 17.01:9;130
21;Terminy:select:1;15'00 18.01:10;130
21;Terminy:select:1;20'40 18.01:11;130
21;Terminy:select:1;15'00 19.01:12;130
21;Terminy:select:1;20'40 19.01:13;130
21;Terminy:select:1;15'00 20.01:14;130
21;Terminy:select:1;20'40 20.01:15;130
22;Terminy:select:1;10'10 12.01:0;130
